bank,no,komponen_otomatis,kalimat_tanya_yang_dinilai,komponen_koreksi_manual
ginjal-2020,96,Physiology,"enal (suprarenalis) bagian korteks zona glomerulosa memproduksi hormon steroid utama yang berfungsi mengatur keseimbangan natrium dan kalium di ginjal, yaitu...",
ginjal-2020,97,Pharmacology,tatalaksana empiris antibiotik oral yang paling tepat dan safe untuk anak/remaja wanita ini adalah...,
ginjal-2020,98,Physiology,mana zat pigmen/metabolit normal di bawah ini yang paling bertanggung jawab memberi warna kuning fisiologis khas pada urin manusia?,
ginjal-2020,99,Physiology,bentuk sistitis yang khas ditandai hematuria makroskopik masif akibat kerusakan dan perdarahan pembuluh darah kapiler mukosa adalah...,
ginjal-2020,100,Diagnostics,apa diagnosis yang paling tepat?,
ginjal-2021,1,Diagnostics,gambaran radiologis yang paling sesuai dengan kondisi pasien tersebut adalah...,
ginjal-2021,2,Diagnostics,apa diagnosis yang tepat?,
ginjal-2021,3,Recall,mediator hormonal utama yang mendasari kelainan tersebut adalah...,
ginjal-2021,4,Pharmacology,efek samping apa yang paling mungkin dirasakan pasien?,
ginjal-2021,5,Physiology,bagian tubulus mana yang bersifat non-permeabel (impermeabel) terhadap air?,
ginjal-2021,6,Histology,istilah yang paling tepat untuk menggambarkan keterlibatan glomerulus tersebut adalah...,
ginjal-2021,7,Recall,nyeri saat berkemih pada infeksi saluran kemih bagian bawah timbul karena fenomena...,
ginjal-2021,8,Recall,"iblat 2) tidak berdiri saat buang air 3) menggunakan tangan kiri 4) boleh menggunakan air, batu, atau tisu bersuci 5) istinja merupakan ibadah bernilai thaharah",
ginjal-2021,9,Physiology,autoregulasi ginjal (renal autoregulation) untuk mempertahankan gfr tetap konstan bekerja efektif pada kisaran tekanan darah arteri rerata (map) berapa?,
ginjal-2021,10,Recall,"penggunaan organ babi untuk xenotransplantasi ginjal pada manusia menghadapi berbagai kendala utama, terutama dikarenakan oleh risiko...",
ginjal-2021,11,Recall,perubahan ini disebut sebagai...,
ginjal-2021,12,Recall,berapakah jumlah segmen arteri renalis utama?,
ginjal-2021,13,Recall,kelainan metabolik apa yang mendasari kondisi ini?,
ginjal-2021,14,Pharmacology,bagaimanakah tatalaksana lini pertama yang tepat?,
ginjal-2021,15,Diagnostics,obstruksi infravesikal akibat bph ini dapat memicu komplikasi klinis berupa...,
ginjal-2021,20,Anatomy,"pada saat terjadi peningkatan tekanan arteri rata-rata (map) pada arteri renalis, respon miogenik pembuluh darah ginjal yang normal adalah...",
ginjal-2021,21,Anatomy,pemeriksaan imajing gold standard lanjutan untuk pemetaan anatomi dan fungsi ekskresi sebelum operatif adalah...,
ginjal-2021,22,Diagnostics,apa diagnosis yang paling tepat?,
ginjal-2021,23,Diagnostics,diagnosis kelainan jantung sekunder hipertensi ini adalah...,
ginjal-2021,25,Recall,zat mana yang merupakan hasil katabolisme akhir dari protein dan asam amino?,
ginjal-2021,26,Physiology,bagaimanakah proses utama terjadinya umpan balik tersebut?,
ginjal-2021,28,Physiology,zat apa yang merupakan hasil katabolisme akhir dari asam nukleat (purin)?,
ginjal-2021,30,Diagnostics,kondisi poliuria ini disebabkan oleh...,
ginjal-2021,45,Anatomy,kelainan metabolik yang paling mungkin adalah...,
ginjal-2021,47,Anatomy,struktur ligamen anatomis yang berada di sebelah anterior dari persilangan ureter dan pembuluh darah pelvic tersebut adalah...,
ginjal-2021,50,Diagnostics,diagnosis yang sesuai adalah...,
ginjal-2021,52,Physiology,apa penyebab perbedaan hasil tersebut?,
ginjal-2021,53,Anatomy,mana lokasi penyempitan paling sempit di sepanjang ureter?,
ginjal-2021,54,Pharmacology,pilihan terapi farmakologis agonis alfa-adrenergik yang bekerja meningkatkan tonus sfingter uretra internal adalah...,
ginjal-2021,56,Diagnostics,bakteri yang dimaksud adalah...,
ginjal-2021,58,Diagnostics,diagnosis tumor tersebut adalah...,
ginjal-2021,60,Histology,faktor mana yang bertindak membantu (mendorong) terjadinya proses filtrasi glomerulus?,
ginjal-2021,66,Physiology,obstruksi urinary outflow akibat bph pada pasien ini disebabkan oleh hiperplasia parenkim prostat terutama pada daerah...,
ginjal-2021,70,Recall,isi glikosuria (terdapatnya glukosa dalam urin) yang terjadi tanpa disertai peningkatan kadar glukosa darah (tanpa hiperglikemia) dapat dijumpai pada kondisi...,
ginjal-2021,71,Diagnostics,"pada foto polos abdomen (bno), batu asam urat murni akan memberikan gambaran radiologis...",
ginjal-2021,78,Histology,coli uropatogenik (upec) yang memfasilitasi penempelan (adhesi) pada epitel mukosa saluran kemih adalah...,
ginjal-2021,79,Histology,mana lokasi target sel epitel utama kerja hormon aldosteron?,
ginjal-2021,81,Physiology,patomekanisme gagal ginjal akut pada pasien ini adalah...,
ginjal-2021,87,Recall,"m, seseorang yang mengalami kondisi medis tidak mampu menahan buang air kecil sehingga urin menetes terus-menerus (inkontinensia urin) disebut dengan istilah...",
ginjal-2021,99,Physiology,penyebab utama anemia pada pasien ckd terminal ini adalah...,
ginjal-2021,100,Physiology,bakteri penyebab isk tersebut adalah...,
ginjal-2022,1,Diagnostics,pemeriksaan penunjang untuk menegakkan diagnosis adalah...,
ginjal-2022,2,Physiology,apa penyebab perbedaan hasil carik celup dengan mikroskopik?,
ginjal-2022,3,Diagnostics,pemeriksaan penunjang apa yang dapat dilakukan?,
ginjal-2022,4,Diagnostics,pemeriksaan fisik ditemukan nyeri pada pinggang kiri. apa diagnosisnya?,
ginjal-2022,5,Histology,apa jenis epitel yang disebut diatas?,
ginjal-2022,6,Diagnostics,apa diagnosis kelainan pasien?,
ginjal-2022,7,Histology,apa yang mempengaruhi proses filtrasi yang terjadi di glomerulus?,
ginjal-2022,8,Recall,bagian apa yang dimaksud?,
ginjal-2022,9,Recall,bagian dari nefron yang permeabel untuk air adalah...,
ginjal-2022,10,Recall,berapa persenkah reabsorbsi air dan solut di tubulus proksimal?,
ginjal-2022,11,Diagnostics,apa nama kelainan yang dirasakan pasien ini?,
ginjal-2022,12,Recall,apa status najis dari air kencing tersebut?,
ginjal-2022,13,Anatomy,"pada laki-laki, dimanakah letak otot tersebut?",
ginjal-2022,14,Physiology,faktor virulensi dari patogenesis bakteri yang menyebabkan bakteri menempel di mukosa saluran kemih dan disebut uropatogen adalah...,
ginjal-2022,15,Pharmacology,obat apa yang tepat untuk tujuan tersebut?,
ginjal-2022,16,Physiology,bagaimana patomekanisme terjadinya kondisi ginjal tersebut?,
ginjal-2022,17,Pharmacology,efek samping yang sering timbul dari obat tersebut adalah...,
ginjal-2022,18,Physiology,apa bakteri penyebab infeksi saluran kemih pada pasien ini?,
ginjal-2022,19,Pharmacology,apa tatalaksana medikamentosa yang tepat untuk alkalisasi urin?,
ginjal-2022,20,Recall,gambaran batu yang mungkin terlihat pada foto polos radiologi adalah...,
ginjal-2022,21,Pharmacology,obat apa yang paling tepat untuk memperbaiki aliran (flow) urin dalam waktu cepat?,
ginjal-2022,22,Diagnostics,pemeriksaan penunjang laboratorium/fungsi yang tepat dilakukan sebelum terapi adalah...,
ginjal-2022,23,Anatomy,apa nama struktur anatomis yang dimaksud?,
ginjal-2022,24,Anatomy,struktur anatomi yang berperan mencegah regurgitasi (refluks) urin dari vesika urinaria ke ureter adalah...,
ginjal-2022,25,Diagnostics,diagnosis yang paling tepat adalah...,
ginjal-2022,26,Physiology,zat vasodilatator yang secara spesifik dapat meningkatkan aliran darah renal (rbf) dan perfusi korteks ginjal adalah...,
ginjal-2022,27,Histology,"pada persamaan gaya starling yang menentukan laju filtrasi glomerulus, mana faktor yang tepat?",
ginjal-2022,28,Recall,bagaimanakah hukum khitan bagi laki-laki dan perempuan menurut mayoritas pandangan hukum islam?,
ginjal-2022,29,Histology,apa yang menyebabkan perbedaan warna urin makroskopis dengan hasil mikroskopis tersebut?,
ginjal-2022,30,Physiology,peten secara hukum (misalnya penderita skizofrenia berat atau keterbelakangan mental) menurut regulasi etik kedokteran medis secara umum memerlukan ketentuan...,
ginjal-2022,31,Physiology,kandungan apa yang terdapat dalam urin sehingga menyebabkan warna tersebut?,
ginjal-2022,32,Recall,apa definisi patologis varikokel?,
ginjal-2022,33,Recall,berapakah umur ideal atau syarat utama tindakan sirkumsisi pada anak dengan kelainan hipospadia?,
ginjal-2022,34,Diagnostics,pemeriksaan laboratorium awal mana yang paling sensitif dan spesifik untuk menajamkan penanda kerusakan ginjal (kidney damage)?,
ginjal-2022,35,Diagnostics,"pada gambaran foto polos radiologi saluran kemih (bno), jenis batu mana yang memberikan gambaran radioopak (tampak putih terang)?",
ginjal-2022,36,Diagnostics,pemeriksaan penunjang baku emas (gold standard) untuk mengevaluasi derajat cedera ginjal pada trauma tumpul abdomen adalah...,
ginjal-2022,37,Physiology,pemeriksaan biomarker laboratorium mana yang lebih akurat untuk menilai penurunan gfr awal saat massa otot pasien menurun?,
ginjal-2022,38,Recall,apa kelenjar yang dimaksud?,
ginjal-2022,39,Diagnostics,bakteri apa yang paling mungkin menjadi etiologi sistitis akut pada wanita muda/lansia ini?,
ginjal-2022,40,Recall,bagaimanakah tata cara bersuci (membersihkan) pakaian yang terkena kencing tersebut sesuai syariat islam?,
ginjal-2022,41,Physiology,apa etiologi tersering dari kelainan ini pada anak-anak?,
ginjal-2022,42,Diagnostics,"k mengonfirmasi kecurigaan nefrolitiasis/urolitiasis atau kelainan traktus urinarius secara aman dan cepat, pemeriksaan radiologi awal yang dianjurkan adalah...",
ginjal-2022,43,Diagnostics,diagnosis kategori hipertensi yang tepat adalah...,
ginjal-2022,44,Diagnostics,apa diagnosis yang paling tepat?,
ginjal-2022,45,Pharmacology,bagaimana tatalaksana utama yang sesuai?,
ginjal-2022,46,Diagnostics,mana pemeriksaan penunjang pencitraan non-invasif lini pertama yang digunakan untuk menentukan posisi keberadaan testis?,
ginjal-2022,47,Pharmacology,apa tatalaksana awal yang paling tepat dan mendesak?,
ginjal-2022,48,Diagnostics,apa diagnosis yang paling mungkin?,
ginjal-2022,49,Physiology,apa patomekanisme utama yang menyebabkan edema pada pasien ini?,
ginjal-2022,50,Recall,apa istilah medis untuk kelainan bawaan tersebut?,
ginjal-2022,51,Physiology,apa faktor etiologi mendasar timbulnya kelainan tersebut?,
ginjal-2022,52,Diagnostics,pemeriksaan baku emas (gold standard) untuk mengonfirmasi letak dan ukuran batu saluran kemih adalah...,
ginjal-2022,53,Pharmacology,bagaimanakah mekanisme kerja obat tersebut?,
ginjal-2022,54,Recall,langkah pemeriksaan evaluasi fungsi ginjal mana yang paling tepat disimpulkan?,
ginjal-2022,55,Physiology,kategori etiologi gagal ginjal akut (aki) mana kasus tersebut?,
ginjal-2022,56,Pharmacology,obat apa yang dimaksud?,
ginjal-2022,57,Physiology,apa patomekanisme utama pekatnya warna urin pasien tersebut?,
ginjal-2022,58,Recall,"bb 70 kg. berdasarkan kriteria rifle untuk acute kidney injury, pasien berada dalam kriteria...",
ginjal-2022,59,Diagnostics,diagnosis yang paling tepat adalah...,
ginjal-2022,60,Diagnostics,apa diagnosis yang paling tepat?,
ginjal-2022,61,Pharmacology,tatalaksana medikamentosa untuk pelarutan batu dan pencegahan rekurensi adalah...,
ginjal-2022,62,Diagnostics,sampel pemeriksaan urin mana yang paling tepat dan baku digunakan untuk kultur bakteri pada anak yang sudah kooperatif?,
ginjal-2022,63,Histology,jenis epitel tersebut adalah...,
ginjal-2022,64,Diagnostics,masalah utama pasien ini adalah...,
ginjal-2022,65,Diagnostics,mana kriteria data laboratorium pendukung kriteria diagnosis pgk menurut kdigo?,
ginjal-2022,66,Anatomy,di mana lokasi tersering kateter tertekuk/tersangkut tersebut?,
ginjal-2022,67,Physiology,faktor etiologi dan patofisiologi utama mendasar berkembangnya kondisi ini adalah...,
ginjal-2022,68,Diagnostics,diagnosis mana yang paling mungkin?,
ginjal-2022,69,Diagnostics,diagnosis paling tepat pada pasien ini adalah...,
ginjal-2022,70,Anatomy,"secara anatomis, organ ginjal yang mengalami kelainan terletak di dalam rongga...",
ginjal-2022,71,Physiology,etiologi utama penyebab anemia pada pasien ini adalah...,
ginjal-2022,72,Pharmacology,golongan obat antihipertensi mana yang sekaligus dapat merelaksasi otot polos prostat untuk mengurangi keluhan luts/retensi pasien?,
ginjal-2022,73,Physiology,etiologi terbanyak kelainan ini adalah...,
ginjal-2022,74,Physiology,kategori gangguan renal mana ini?,
ginjal-2022,75,Pharmacology,kombinasi terapi medikamentosa mana yang paling efektif untuk merelaksasi tonus otot sekaligus memperkecil volume prostat?,
ginjal-2022,76,Pharmacology,obat antihipertensi lini pertama mana yang terbukti memiliki efek renoprotektif memperlambat progresivitas nefropati diabetik?,
ginjal-2022,77,Pharmacology,apa perbedaan utama terapi di antara kedua kondisi tersebut?,
ginjal-2022,78,Diagnostics,diagnosis yang paling mungkin adalah...,
ginjal-2022,79,Diagnostics,diagnosis yang paling mungkin adalah...,
ginjal-2022,80,Physiology,apa faktor fisiologis utama yang memicu terjadinya edema interstisial tersebut?,
ginjal-2022,81,Anatomy,"lam anatomi makroskopis ginjal, sebutan untuk gabungan satu piramida renalis beserta jaringan korteks dan kolumna renalis (bertini) yang membatasinya disebut...",
ginjal-2022,82,Diagnostics,gambaran radiologis khas pada pemeriksaan sistografi / ivp kasus tersebut adalah...,
ginjal-2022,83,Physiology,apa mekanisme utama yang mendasari tubuloglomerular feedback (tgf) saat terjadi peningkatan penyampaian nacl ke makula densa?,
ginjal-2022,84,Diagnostics,parameter kalkulasi mana yang paling tepat digunakan untuk menentukan stadium keparahan fungsi ginjal pasien?,
ginjal-2022,85,Pharmacology,bagaimanakah mekanisme kerja utama antibiotik golongan sulfonamida (misal sulfametoksazol) dalam menghambat pertumbuhan bakteri?,
ginjal-2022,86,Pharmacology,langkah tatalaksana non-farmakologis awal yang harus selalu diterapkan mendasari tatalaksana hipertensi anak adalah...,
ginjal-2022,87,Physiology,apa alasan mendasar mayoritas ulama dan lembaga fikih islam melarang praktek jual beli organ tubuh manusia untuk tindakan transplantasi?,
ginjal-2022,88,Anatomy,komponen penyusun aparatus jukstaglomerulus (jga) pada nefron ginjal selain sel jukstaglomerulus (penghasil renin) adalah...,
ginjal-2022,89,Pharmacology,enzim spesifik mana yang diinhibisi secara langsung oleh antibiotik golongan sulfonamida pada bakteri?,
ginjal-2022,90,Diagnostics,diagnosis yang paling mungkin adalah...,
ginjal-2022,91,Physiology,apa etiologi mendasar gagal ginjal akut (aki) pada pasien ini?,
ginjal-2022,92,Pharmacology,pilihan antibiotik oral lini pertama yang tepat untuk rawat jalan isk tanpa komplikasi pada anak adalah...,
ginjal-2022,93,Physiology,coli yang paling berperan menempel pada mukosa urotelium kandung kemih?,
ginjal-2022,94,Pharmacology,pilihan obat yang tepat adalah...,
ginjal-2022,95,Pharmacology,parameter terapi utama mana yang membedakan regimen terapi di antara kedua kondisi tersebut?,
ginjal-2022,96,Anatomy,bangunan anatomis makroskopis ginjal yang terdiri dari satu piramid renalis beserta jaringan korteks dan kolumna renalis yang membatasinya dinamakan...,
ginjal-2022,97,Physiology,"selain pemeriksaan di atas, laboratorium mana yang paling akurat untuk menilai penurunan laju filtrasi ginjal awal saat massa otot pasien menurun?",
ginjal-2023,1,Diagnostics,pemeriksaan penunjang untuk menegakkan diagnosis adalah...,
ginjal-2023,2,Diagnostics,apa organ yang mengalami kerusakan?,
ginjal-2023,3,Diagnostics,apa bakteri yang dimaksud?,
ginjal-2023,4,Pharmacology,efek samping utama dari obat ini adalah:,
ginjal-2023,5,Pharmacology,obat yang paling mungkin menyebabkan efek samping tersebut adalah?,
ginjal-2023,6,Recall,"menurut hukum di amerika serikat, pengambilan organ dari donor inkompeten (tidak mampu memberikan persetujuan) hanya boleh dilakukan apabila?",
ginjal-2023,7,Diagnostics,diagnosis paling mungkin adalah:,
ginjal-2023,8,Anatomy,struktur anatomi yang menahan regurgitasi urin dari vu ke ureter adalah?,
ginjal-2023,9,Physiology,apa etiologi terbanyak kelainan ini?,
ginjal-2023,10,Diagnostics,apa diagnosis pada pasien ini?,
ginjal-2023,11,Physiology,apa etiologi terbanyak kelainan ini?,
ginjal-2023,12,Pharmacology,obat yang dapat membantu mengeluarkan batu urin adalah?,
ginjal-2023,13,Recall,dokter spesialis apa yang menyatakan bahwa pasien tersebut sudah meninggal dunia?,
ginjal-2023,14,Diagnostics,apa diagnosis pasien ini?,
ginjal-2023,15,Histology,apa jenis epitel yang disebut di atas?,
ginjal-2023,16,Anatomy,"pada laki-laki, dimanakah letak otot tersebut?",
ginjal-2023,17,Physiology,apa penyebab dari kelainan di atas?,
ginjal-2023,18,Pharmacology,terapi simptomatik apa yang dapat digunakan pada pasien ini?,
ginjal-2023,19,Recall,"setelah dilakukan pemeriksaan, ditemukan laserasi <1cm pada ginjal:",
ginjal-2023,20,Anatomy,flank area merupakan area yang terletak antara:,
ginjal-2023,21,Physiology,apa penyebab adanya edema pada pasien ini?,
ginjal-2023,22,Pharmacology,pemeriksaan yang dilakukan sebelum terapi steroid/imunosupresan adalah:,
ginjal-2023,23,Anatomy,struktur anatomi apa yang berjalan menyilang tepat di bawah arteri uterina?,
ginjal-2023,24,Diagnostics,apa diagnosis pasien tersebut?,
ginjal-2023,25,Diagnostics,apa gambaran radiologi yang paling sesuai klinis pasien?,
ginjal-2023,26,Diagnostics,pemeriksaan shifting dullness menandakan keberadaan:,
ginjal-2023,27,Physiology,faktor virulensi apa yang mungkin berperan utama dalam patogenesis penempelan bakteri penyebab pada mukosa saluran kemih?,
ginjal-2023,28,Recall,hukum dari najis tersebut adalah?,
ginjal-2023,29,Recall,bagaimana cara menghilangkan najisnya?,
ginjal-2023,30,Recall,bagaimana cara menyucikan najis dari bayi laki-laki berusia 4 bulan yang hanya minum asi?,
ginjal-2023,31,Diagnostics,apa diagnosis yang paling mungkin?,
ginjal-2023,32,Pharmacology,terapi cito paling tepat untuk pasien ini adalah?,
ginjal-2023,33,Diagnostics,apa komplikasi jangka panjang dari infeksi saluran kemih berulang pada anak?,
ginjal-2023,34,Recall,apa status najis dari air kencing tersebut?,
ginjal-2023,35,Pharmacology,apa perbedaan utama terapi pemberian dari kedua kondisi tersebut?,
ginjal-2023,36,Pharmacology,bagaimana mekanisme kerja utama dari obat tersebut?,
ginjal-2023,37,Recall, yang tersusun dari membran protein dan lemak yang kuat dan tidak tembus air serta melindungi sitoplasma dan lapisan dibawahnya terhadap efek urin yang disebut?,
ginjal-2023,38,Pharmacology,indikasi yang membolehkan pasien dirawat inap untuk pulang setelah respon terapi kortikosteroid adalah?,
ginjal-2023,39,Anatomy,otot volunter tersebut terletak dibagian?,
ginjal-2023,40,Anatomy,apa nama struktur pada bakteri yang memungkinkan menempel pada permukaan mukosa saluran kemih?,
ginjal-2023,41,Physiology,zat apa yang kemungkinan menyebabkan hasil tersebut?,
ginjal-2023,42,Pharmacology,apa tindakan yang paling tepat dilakukan dokter?,
ginjal-2023,43,Pharmacology,langkah awal yang tepat untuk mencegah komplikasi retensi dan cedera uretra lebih lanjut adalah?,
ginjal-2023,44,Diagnostics,pasien memiliki riwayat jatuh dari sepeda hingga perineum mengenai batang frame sepeda (straddle injury). apa diagnosis pasien?,
ginjal-2023,45,Physiology,bagaimana perubahan osmolalitas cairan dari glomerulus hingga awal duktus koligens secara fisiologis?,
ginjal-2023,46,Diagnostics,apa diagnosis paling tepat pada pasien ini?,
ginjal-2023,47,Pharmacology,mana dari pernyataan mengenai mekanisme kerja obat tersebut yang paling tepat?,
ginjal-2023,48,Diagnostics,kelainan apa yang paling mungkin terjadi pada pasien?,
ginjal-2023,49,Diagnostics,apa parameter utama yang dibutuhkan oleh dokter untuk menentukan dan menetapkan derajat/stadium penyakit gagal ginjal kronik (ckd)?,
ginjal-2023,50,Physiology,apa faktor risiko lingkungan/kebiasaan terbesar dari penyakit tersebut?,
ginjal-2023,51,Pharmacology,mana yang menjadi indikasi utama tindakan dialisis tersebut?,
ginjal-2023,52,Recall,"secara etika dan hukum transplantasi, siapakah yang berhak memberikan keputusan legal?",
ginjal-2023,53,Diagnostics,apa diagnosis paling mungkin?,
ginjal-2023,54,Physiology,mekanisme fisiologis mana yang menyebabkan gfr menurun pada kondisi syok hipovolemik tersebut?,
ginjal-2023,55,Diagnostics,"menurut kriteria aast, grade berapa trauma tersebut?",
ginjal-2023,56,Diagnostics,"untuk pemeriksaan isolasi/kultur bakteri, spesimen urin diambil dari?",
ginjal-2023,57,Diagnostics,metode yang paling baik dan baku untuk pengambilan spesimen urin rutin/kultur pada pasien ini adalah?,
ginjal-2023,58,Anatomy,bagian atau lobus pada prostat yang paling mudah diraba dan diidentifikasi pada saat pemeriksaan colok dubur (rectal toucher) adalah?,
ginjal-2023,59,Pharmacology,efek samping apa yang paling mungkin dikeluhkan pasien?,
ginjal-2023,60,Recall,bagaimana gambaran khas yang akan tampak pada pemeriksaan ultrasonografi (usg) ginjal?,
ginjal-2023,61,Histology,jenis sel apa yang menyusun stroma fibromuskular tersebut?,
ginjal-2023,62,Diagnostics,bakteri apa yang paling mungkin menjadi etiologi?,
ginjal-2023,63,Diagnostics,pemeriksaan penunjang pencitraan awal yang paling tepat untuk menilai traktus urinarius adalah?,
ginjal-2023,64,Physiology,hormon derivat androgen utama yang berperan langsung memicu hiperplasia sel tersebut adalah?,
ginjal-2023,65,Physiology,asam urat (uric acid) merupakan hasil akhir katabolisme dari?,
ginjal-2023,66,Diagnostics,diagnosis yang paling mungkin adalah?,
ginjal-2023,67,Pharmacology,tatalaksana medikamentosa lini pertama untuk kasus sindrom nefrotik anak ini adalah?,
ginjal-2023,68,Physiology,parameter laboratorium utama yang paling tepat digunakan untuk menilai fungsi filtrasi ginjal dan kerusakan struktur ginjal secara menyeluruh adalah?,
ginjal-2023,69,Physiology,jenis gangguan ginjal akut (aki) apa yang terjadi?,
ginjal-2023,70,Anatomy,apa nama muara anatomis dari saluran yang menerima aliran urin langsung dari calyx mayor?,
ginjal-2023,71,Physiology,apa penyebab utama anemia pada pasien ini?,
ginjal-2023,72,Diagnostics,mana interpretasi yang paling tepat mengenai fungsi ginjal pasien?,
ginjal-2023,73,Diagnostics,apa diagnosis pada pasien ini?,
ginjal-2023,74,Pharmacology,apa komplikasi jangka panjang yang paling berbahaya apabila undescended testis (kriptorkidismus) tidak mendapatkan penanganan?,
ginjal-2023,75,Diagnostics,apa diagnosis pada pasien ini?,
ginjal-2023,76,Histology,mana tekanan yang berlawanan dan melawan proses filtrasi cairan dari kapiler glomerulus ke kapsula bowman?,
ginjal-2023,77,Recall,bagaimanakah hukum khitan bagi laki-laki dan perempuan menurut pandangan mayoritas ulama fikih?,
ginjal-2023,78,Diagnostics,komplikasi akut berisiko tinggi yang dapat dialami testis abnormal tersebut adalah?,
ginjal-2023,79,Pharmacology,apa efek samping iritasi lokal yang sering dikeluhkan pasien?,
ginjal-2023,80,Diagnostics,apa diagnosis pasien tersebut?,
ginjal-2023,81,Pharmacology,mana yang merupakan kontraindikasi atau efek samping berbahaya dari penggunaan nitrofurantoin?,
ginjal-2023,82,Recall,"pada korpus renalis, tempat masuknya arteriol aferen dan keluarnya arteriol eferen disebut?",
ginjal-2023,83,Histology,"pada sediaan histologi ginjal, saluran yang memiliki lumen tidak teratur, dilapisi epitel kubis selapis dengan brush border tebal di apikal adalah?",
ginjal-2023,84,Diagnostics,pemeriksaan penunjang kuantitatif baku emas yang paling tepat dilakukan selanjutnya untuk menilai derajat kuantitas proteinuria adalah?,
ginjal-2023,85,Pharmacology,tatalaksana medikamentosa rawat jalan paling tepat adalah?,
ginjal-2023,86,Pharmacology,golongan obat mana yang digunakan dalam terapi ekspulsi medikamentosa (met) untuk mempercepat ekspulsi batu secara spontan?,
ginjal-2023,87,Physiology,apa penyebab paling mungkin dari fenomena tersebut?,
ginjal-2023,88,Diagnostics,kelainan apa yang mendasari perbedaan hasil tersebut?,
ginjal-2023,89,Diagnostics,diagnosis yang paling tepat adalah?,
ginjal-2023,90,Diagnostics,pemeriksaan laboratorium utama untuk menilai gangguan fungsi ginjal akut (aki) secara tepat adalah?,
ginjal-2023,91,Diagnostics,"untuk menilai dan menguantifikasi derajat kuantitas proteinuria kuantitatif tanpa penampungan urin 24 jam, tes apa yang dianjurkan?",
ginjal-2023,92,Pharmacology,mana pernyataan yang paling tepat mengenai mekanisme kerja kombinasi antibiotik trimethoprim-sulfamethoxazole (kotrimoksazol)?,
ginjal-2023,93,Recall,mana dari kondisi berikut yang menjadi indikasi mutlak (cito) dilakukannya tindakan dialisis pada pasien gagal ginjal?,
ginjal-2023,94,Pharmacology,bagaimanakah regimen tatalaksana inisial kortikosteroid standar pada anak yang terdiagnosis sindrom nefrotik serangan pertama?,
ginjal-2023,95,Diagnostics,"ituasi bencana atau keterbatasan fasilitas lapangan, pemeriksaan laboratorium sederhana terpenting untuk mengonfirmasi diagnosis gagal ginjal akut (aki) adalah?",
ginjal-2023,96,Physiology,bakteri batang gram negatif penyebab isk yang memroduksi enzim urease kuat untuk memecah urea menjadi amonia sehingga meningkatkan ph urin adalah?,
ginjal-2023,97,Pharmacology,kombinasi terapi farmakologis lini utama yang digunakan untuk mengatasi hipertensi berat disertai overload cairan pada anak dengan penyakit ginjal akut adalah?,
ginjal-2023,98,Physiology,"saat seseorang berolahraga berat dan mengalami dehidrasi ringan, mekanisme kompensasi ginjal yang bekerja untuk mempertahankan volume cairan tubuh adalah?",
ginjal-2023,99,Recall,kondisi patofisiologis mana yang menjelaskan kelainan tersebut?,
ginjal-2023,100,Diagnostics,diagnosis mana yang paling sesuai?,
kardio-2023,1,Recall,lapisan yg membesar pada pasien kardiomegali yang berada pada mediastinum media,
kardio-2023,2,Anatomy,apa nama pembuluh darah yang diperiksa tekanannya pada pemeriksaan tekanan vena di leher (jvp)?,
kardio-2023,3,Diagnostics,apa kemungkinan diagnosa pada penderita tersebut?,
kardio-2023,4,Pharmacology,apa saran yang dapat diberikan untuk menghindari interaksi kedua obat tersebut?,
kardio-2023,5,Recall,non lipid biomarker untuk iskemik heart disease adalah,
kardio-2023,6,Pharmacology,yang mana obat dyslipidemia menyebabkan efek samping tersebut?,
kardio-2023,7,Recall,mana percabangan dari aorta thoracalis?,
kardio-2023,8,Recall,dinding yang menjadi pembatas mediastinum media adalah?,
kardio-2023,9,Anatomy,apa nama saraf yang meningkatkan frekuensi denyut jantung?,
kardio-2023,10,Pharmacology,apa efek captopril pada hemodinamik jantung?,
kardio-2023,11,Recall,berikut ini yang benar mengenai atrium kiri adalah,
kardio-2023,12,Diagnostics,apa kemungkinan kelainan pada anak tersebut?,
kardio-2023,13,Diagnostics,apa diagnosis yang mungkin?,
kardio-2023,14,Anatomy,apa nama bagian dari pembuluh darah daerah leher yg menjadi baroreseptor?,
kardio-2023,15,Diagnostics,kasus anak dengan tensi 130/90 pemeriksaan apa yang perlu dilakukan?,
kardio-2023,16,Physiology,berapa nilai mean arterial pressure (map)-nya?,
kardio-2023,17,Pharmacology,"diet mediterania, disarankan memakan makanan tinggi kacang, rendah lemak dan mengonsumsi minyak...",
kardio-2023,18,Physiology,suhu dingin extreme akan berpengaruh apa pada sistem kardiovaskular?,
kardio-2023,19,Pharmacology,"seorang anak 5 tahun dengan bb 20kg, ditemukan adanya ruam dileher dan kemaluan, lidahnya kemerahan seperti strawberry, penanganan yang tepat?",
kardio-2023,20,Diagnostics,"rang anak 5 tahun dengan bb 20kg, ditemukan adanya ruam dileher dan kemaluan, lidahnya kemerahan seperti strawberry, komplikasi apa yang paling berisiko muncul?",
kardio-2023,21,Diagnostics,"untuk membedakan penyebab sesak jantung vs paru, pemeriksaan laboratorium non-lipid yang tepat adalah:",
kardio-2023,22,Diagnostics,kesan yang terlihat pada pasien?,
kardio-2023,23,Anatomy,apa nama sisi/tepi yang merupakan letak/tempat berjalannya arteri marginalis dextra pada permukaan jantung?,
